variable,type,length,missing_value,null_ok,required,longer_name,decription,notes
id,int,28,no,no,yes,Draft Blueprint Base Zoning ID,joins this table to zoning_parcels table,
juris,string,76,yes,yes,no,PBA50 Jurisdiction Full Name,,
name,string,130,yes,yes,no,Draft Blueprint Base Zoning Type,,
max_far,float,32,yes,yes,yes,Max FAR Allowed,,
max_height,float,32,yes,yes,yes,Max Height Allowed,,
max_dua,float,32,yes,yes,yes,Max DUA Allowed,,
max_du_per_parcel,float,32,yes,yes,no,Max DUA Allowed per Parcel,,
HS,int,28,yes,yes,yes,SFD Development Allowed,1 (allow) or 0 (not allow), 
HT,int,28,yes,yes,yes,Rowhouse Development Allowed,1 (allow) or 0 (not allow), 
HM,int,28,yes,yes,yes,MFD Development Allowed,1 (allow) or 0 (not allow),
OF,int,28,yes,yes,yes,Office Development Allowed,1 (allow) or 0 (not allow),
HO,int,28,yes,yes,yes,Hotel Development Allowed,1 (allow) or 0 (not allow),
SC,int,28,yes,yes,yes,School Development Allowed,1 (allow) or 0 (not allow),
IL,int,28,yes,yes,yes,Light Industrial Development Allowed,1 (allow) or 0 (not allow),
IW,int,28,yes,yes,yes,Warehouse Development Allowed,1 (allow) or 0 (not allow),
IH,int,28,yes,yes,yes,Heavy Industrial Development Allowed,1 (allow) or 0 (not allow),
RS,int,28,yes,yes,yes,Retail Development Allowed,1 (allow) or 0 (not allow),
RB,int,28,yes,yes,yes,Big Box Retail Development Allowed,1 (allow) or 0 (not allow),
MR,int,28,yes,yes,yes,Mixed Residential Development Allowed,1 (allow) or 0 (not allow),
MT,int,28,yes,yes,yes,Mixed Retail Development Allowed,1 (allow) or 0 (not allow),
ME,int,28,yes,yes,yes,Mixed Employment Focused Development Allowed,1 (allow) or 0 (not allow),
